# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
peugeot,Peugeot 5008 1.2 PureTech Allure S&S EAT8,108000.0,154600,Automatik,1997.0,Diesel,Mysłowice,Śląskie,2019,5
ford,Ford Mondeo 2.0 EcoBlue Titanium,89750.0,214500,Schaltwagen,1997.0,Diesel,Częstochowa,Śląskie,2015,9
land-rover,Land Rover Range Rover Sport,93000.0,194600,Automatik,1999.0,Benzin,Białystok,Podlaskie,2011,13
opel,Opel Astra IV 1.4 T Sport,32500.0,191628,Schaltwagen,1686.0,Diesel,Ustroń,Śląskie,2011,13
ford,Ford Fiesta 1.4 Titanium,25800.0,190000,Schaltwagen,1596.0,Benzin,Siedlce,Mazowieckie,2011,13
bmw,BMW X3 xDrive28i xLine sport,95500.0,99000,Automatik,1499.0,Benzin,Koszalin,Zachodniopomorskie,2017,7
kia,Kia Sportage 1.6 T-GDI Business Line 2WD,160800.0,10,Schaltwagen,1197.0,Benzin,Łódź,Łódzkie,2023,1
volkswagen,Volkswagen Tiguan,55000.0,139000,Automatik,2967.0,Diesel,Żory,Śląskie,2014,10
mercedes-benz,Mercedes-Benz Klasa E 200 9G-TRONIC,141900.0,128584,Automatik,1595.0,Benzin,Koszalin,Zachodniopomorskie,2017,7
volkswagen,Volkswagen Golf GTI Performance BlueMotion Technology,71900.0,180953,Schaltwagen,1968.0,Diesel,Rybnik,Śląskie,2014,10
hyundai,Hyundai Kona,93900.0,5,Schaltwagen,1598.0,Benzin,Wejherowo,Pomorskie,2023,1
mercedes-benz,Mercedes-Benz Klasa C,31999.0,290000,Automatik,2987.0,Diesel,Garwolin,Mazowieckie,2010,14
ford,Ford C-MAX 1.6 TDCi Start-Stop-System Titanium,29600.0,170000,Schaltwagen,1596.0,Benzin,Bolków,Dolnośląskie,2012,12
volkswagen,Volkswagen Touran 1.9 TDI Trendline,15500.0,259800,Schaltwagen,1896.0,Diesel,Katowice,Śląskie,2008,16
renault,Renault Megane 1.6 SCe Zen,51800.0,106000,Schaltwagen,999.0,Benzin,Kraków,Małopolskie,2015,9
